Schema,Object Type,Object Name,Parent Object Type,Parent Object Name,Row Count,Comment,Data Type,Length,Primary Key,Precision,Scale,Nulls Allowed,Columns,Code,Unique,Foreign Key Name,Reference Model,Reference Table,Reference Column
EDA,Column,MailingLongitude,Table,Contact,,,double,0.0,,,,True,,,,,,,
EDA,Column,MailingPostalCode,Table,Contact,,,string,20.0,,,,True,,,,,,,
EDA,Column,MailingState,Table,Contact,,,string,80.0,,,,True,,,,,,,
EDA,Column,MailingStreet,Table,Contact,,,textarea,255.0,,,,True,,,,,,,
EDA,Column,MasterRecordId,Table,Contact,,,reference,18.0,,,,True,,,,MasterRecord,EDA,Contact,Id
EDA,Column,MobilePhone,Table,Contact,,,phone,40.0,,,,True,,,,,,,
EDA,Column,Name,Table,Contact,,,string,121.0,,,,False,,,,,,,
EDA,Column,OtherAddress,Table,Contact,,,address,0.0,,,,True,,,,,,,
EDA,Column,OtherCity,Table,Contact,,,string,40.0,,,,True,,,,,,,
EDA,Column,OtherCountry,Table,Contact,,,string,80.0,,,,True,,,,,,,
EDA,Column,OtherGeocodeAccuracy,Table,Contact,,Picklist Items: Address - Address/NearAddress - NearAddress/Block - Block/Street - Street/ExtendedZip - ExtendedZip/Zip - Zip/Neighborhood - Neighborhood/City - City/County - County/State - State/Unknown - Unknown,picklist,40.0,,,,True,,,,,,,
EDA,Column,OtherLatitude,Table,Contact,,,double,0.0,,,,True,,,,,,,
EDA,Column,OtherLongitude,Table,Contact,,,double,0.0,,,,True,,,,,,,
EDA,Column,OtherPhone,Table,Contact,,,phone,40.0,,,,True,,,,,,,
EDA,Column,OtherPostalCode,Table,Contact,,,string,20.0,,,,True,,,,,,,
EDA,Column,OtherState,Table,Contact,,,string,80.0,,,,True,,,,,,,
EDA,Column,OtherStreet,Table,Contact,,,textarea,255.0,,,,True,,,,,,,
EDA,Column,OwnerId,Table,Contact,,,reference,18.0,,,,False,,,,Owner,EDA,User,Id
EDA,Column,Phone,Table,Contact,,,phone,40.0,,,,True,,,,,,,
EDA,Column,PhotoUrl,Table,Contact,,,url,255.0,,,,True,,,,,,,
EDA,Column,ReportsToId,Table,Contact,,,reference,18.0,,,,True,,,,ReportsTo,EDA,Contact,Id
EDA,Column,Salutation,Table,Contact,,Picklist Items: Mr. - Mr./Ms. - Ms./Mrs. - Mrs./Dr. - Dr./Prof. - Prof.,picklist,40.0,,,,True,,,,,,,
EDA,Column,SystemModstamp,Table,Contact,,,datetime,0.0,,,,False,,,,,,,
EDA,Column,Title,Table,Contact,,,string,128.0,,,,True,,,,,,,
EDA,Table,Lead,Schema,EDA,,,,,,,,,,,,,,,
EDA,Column,Address,Table,Lead,,,address,0.0,,,,True,,,,,,,
EDA,Column,AnnualRevenue,Table,Lead,,,currency,0.0,,,,True,,,,,,,
EDA,Column,City,Table,Lead,,,string,40.0,,,,True,,,,,,,
EDA,Column,CleanStatus,Table,Lead,,Picklist Items: In Sync - Matched/Different - Different/Reviewed - Acknowledged/Not Found - NotFound/Inactive - Inactive/Not Compared - Pending/Select Match - SelectMatch/Skipped - Skipped,picklist,40.0,,,,True,,,,,,,
EDA,Column,Company,Table,Lead,,,string,255.0,,,,False,,,,,,,
EDA,Column,CompanyDunsNumber,Table,Lead,,,string,9.0,,,,True,,,,,,,
EDA,Column,ConvertedAccountId,Table,Lead,,,reference,18.0,,,,True,,,,ConvertedAccount,EDA,Account,Id
EDA,Column,ConvertedContactId,Table,Lead,,,reference,18.0,,,,True,,,,ConvertedContact,EDA,Contact,Id
EDA,Column,ConvertedDate,Table,Lead,,,date,0.0,,,,True,,,,,,,
EDA,Column,ConvertedOpportunityId,Table,Lead,,,reference,18.0,,,,True,,,,ConvertedOpportunity,EDA,Opportunity,Id
EDA,Column,Country,Table,Lead,,,string,80.0,,,,True,,,,,,,
EDA,Column,CreatedById,Table,Lead,,,reference,18.0,,,,False,,,,CreatedBy,EDA,User,Id
EDA,Column,CreatedDate,Table,Lead,,,datetime,0.0,,,,False,,,,,,,
EDA,Column,DandbCompanyId,Table,Lead,,,reference,18.0,,,,True,,,,DandbCompany,EDA,DandBCompany,Id
EDA,Column,Description,Table,Lead,,,textarea,32000.0,,,,True,,,,,,,
EDA,Column,DoNotCall,Table,Lead,,,boolean,0.0,,,,False,,,,,,,
EDA,Column,Email,Table,Lead,,,email,80.0,,,,True,,,,,,,
EDA,Column,EmailBouncedDate,Table,Lead,,,datetime,0.0,,,,True,,,,,,,
EDA,Column,EmailBouncedReason,Table,Lead,,,string,255.0,,,,True,,,,,,,
EDA,Column,Fax,Table,Lead,,,phone,40.0,,,,True,,,,,,,
EDA,Column,FirstName,Table,Lead,,,string,40.0,,,,True,,,,,,,
EDA,Column,GeocodeAccuracy,Table,Lead,,Picklist Items: Address - Address/NearAddress - NearAddress/Block - Block/Street - Street/ExtendedZip - ExtendedZip/Zip - Zip/Neighborhood - Neighborhood/City - City/County - County/State - State/Unknown - Unknown,picklist,40.0,,,,True,,,,,,,
EDA,Column,HasOptedOutOfEmail,Table,Lead,,,boolean,0.0,,,,False,,,,,,,
